market,quarter,year,go_proportion,quarter_percent_change_lease,internal_industry,internal_class,internal_class_rent,county_name,worked_at_home_rate,employed_pop,commuters_by_public_transportation_rate,total_pop
Atlanta,Q1,2018,0.5918367346938775,0.0,Financial Services and Insurance,A,27.6558911686799,Fulton County,0.0414731335891258,72922.625,0.0132297093843911,149460.25
Atlanta,Q1,2018,0.7894736842105263,0.0,"Technology, Advertising, Media, and Information",A,27.6558911686799,Fulton County,0.0414731335891258,72922.625,0.0132297093843911,149460.25
Austin,Q1,2018,0.625,0.0,Legal Services,O,30.1186577498436,Travis County,0.0823156144173104,645807.0,0.031554318859969,1176584.0
Austin,Q1,2018,0.8333333333333334,836.536617943277,Financial Services and Insurance,A,40.3847061308072,Travis County,0.0823156144173104,645807.0,0.031554318859969,1176584.0
Austin,Q1,2018,0.8333333333333334,0.0,Financial Services and Insurance,A,40.3847061308072,Travis County,0.0823156144173104,645807.0,0.031554318859969,1176584.0
Boston,Q1,2018,0.5769230769230769,0.0,"Technology, Advertising, Media, and Information",O,20.1477247904417,Suffolk County,0.033012383115742,583937.5,0.191671056161742,1139140.0
Charlotte,Q1,2018,0.6,0.0,Legal Services,O,20.7555580287693,Mecklenburg County,0.0529594091502019,275268.5,0.016250788463089,532624.5
Charlotte,Q1,2018,0.9032258064516129,555.5576823800326,Financial Services and Insurance,A,28.5893701247036,Mecklenburg County,0.0529594091502019,275268.5,0.016250788463089,532624.5
Charlotte,Q1,2018,0.8,0.0,"Technology, Advertising, Media, and Information",A,28.5893701247036,Mecklenburg County,0.0529594091502019,275268.5,0.016250788463089,532624.5
Charlotte,Q1,2018,0.9032258064516129,0.0,Financial Services and Insurance,A,28.5893701247036,Mecklenburg County,0.0529594091502019,275268.5,0.016250788463089,532624.5
Chicago Suburbs,Q1,2018,0.46153846153846156,0.0,Financial Services and Insurance,O,19.6066862272914,Cook County,0.0521462462679171,843658.333333333,0.0662685163678764,1753667.0
